ijekavian_lemma,ekavian_lemma,description
također,takođe,adverb: also
usprkos,uprkos,preposition: despite
unatoč,uprkos,preposition: despite (Croatian variant)
željeti,želeti,verb: to want
vidjeti,videti,verb: to see
htjeti,hteti,verb: to want (auxiliary)
razumjeti,razumeti,verb: to understand
smjeti,smeti,verb: to be allowed
voljeti,voleti,verb: to love
živjeti,živeti,verb: to live
trpjeti,trpeti,verb: to endure
letjeti,leteti,verb: to fly
gorjeti,goreti,verb: to burn
sjesti,sesti,verb: to sit down
doživiti,doživeti,verb: to experience
voliti,voleti,verb: to love (variant)
resiti,rešiti,verb: to solve
