source_lemma,corrected_lemma,description
premer,premijer,noun: prime minister
mišlenje,mišljenje,noun: opinion (spelling correction)
skopje,skoplje,proper noun: Skopje (Serbian form)
k,ka,preposition: towards
tko,ko,pronoun: who (Croatian to Serbian)
netko,neko,pronoun: someone (Croatian to Serbian)
nitko,niko,pronoun: nobody (Croatian to Serbian)
cel,ceo,adjective: whole
efekt,efekat,noun: effect (Serbian consonant cluster)
projekt,projekat,noun: project (Serbian consonant cluster)
objekt,objekat,noun: object (Serbian consonant cluster)
ambient,ambijent,noun: ambiance
ekonomist,ekonomista,noun: economist (Serbian -ista suffix)
terorist,terorista,noun: terrorist (Serbian -ista suffix)
gardist,gardista,noun: guardsman (Serbian -ista suffix)
alijas,alijansa,noun: alliance (truncated form)
nauk,nauka,noun: science
