source_lemma,corrected_lemma,description
premer,premijer,noun: prime minister
mišlenje,mišljenje,noun: opinion (spelling correction)
skopje,skoplje,proper noun: Skopje (Serbian form)
k,ka,preposition: towards
tko,ko,pronoun: who (Croatian to Serbian)
netko,neko,pronoun: someone (Croatian to Serbian)
nitko,niko,pronoun: nobody (Croatian to Serbian)
cel,ceo,adjective: whole
efekt,efekat,noun: effect (Serbian consonant cluster)
projekt,projekat,noun: project (Serbian consonant cluster)
objekt,objekat,noun: object (Serbian consonant cluster)
ambient,ambijent,noun: ambiance
ekonomist,ekonomista,noun: economist (Serbian -ista suffix)
terorist,terorista,noun: terrorist (Serbian -ista suffix)
gardist,gardista,noun: guardsman (Serbian -ista suffix)
alijas,alijansa,noun: alliance (truncated form)
nauk,nauka,noun: science
saveta,savet,"data-driven from train splits (n=292, agreement=100%), manually reviewed"
beš,biti,"data-driven from train splits (n=111, agreement=100%), manually reviewed"
lokalni,lokalan,"data-driven from train splits (n=86, agreement=100%), manually reviewed"
upravan,upravni,"data-driven from train splits (n=80, agreement=100%), manually reviewed"
kvaliteta,kvalitet,"data-driven from train splits (n=53, agreement=96%), manually reviewed"
kazo,kazati,"data-driven from train splits (n=51, agreement=100%), manually reviewed"
ustava,ustav,"data-driven from train splits (n=51, agreement=100%), manually reviewed"
perioda,period,"data-driven from train splits (n=45, agreement=96%), manually reviewed"
veka,vek,"data-driven from train splits (n=37, agreement=100%), manually reviewed"
porodični,porodičan,"data-driven from train splits (n=26, agreement=100%), manually reviewed"
određeno,odrediti,"data-driven from train splits (n=24, agreement=100%), manually reviewed"
zabranjeno,zabraniti,"data-driven from train splits (n=24, agreement=100%), manually reviewed"
ustavni,ustavan,"data-driven from train splits (n=23, agreement=100%), manually reviewed"
konsultacije,konsultacija,"data-driven from train splits (n=21, agreement=100%), manually reviewed"
udel,udeo,"data-driven from train splits (n=19, agreement=100%), manually reviewed"
držeći,držati,"data-driven from train splits (n=19, agreement=100%), manually reviewed"
fehmi,fehmiju,"data-driven from train splits (n=18, agreement=100%), manually reviewed"
jbt,jebote,"data-driven from train splits (n=17, agreement=100%), manually reviewed"
stočni,stočan,"data-driven from train splits (n=17, agreement=100%), manually reviewed"
izvršeno,izvršiti,"data-driven from train splits (n=16, agreement=100%), manually reviewed"
stola,sto,"data-driven from train splits (n=15, agreement=100%), manually reviewed"
slobodana,slobodan,"data-driven from train splits (n=14, agreement=100%), manually reviewed"
uveden,uvesti,"data-driven from train splits (n=14, agreement=100%), manually reviewed"
telekomunikacije,telekomunikacija,"data-driven from train splits (n=13, agreement=100%), manually reviewed"
